Vehicle_ID,Epoch_ms,Veh_Velocity,Lane_ID,Org_Zone,Dest_Zone,Intersection,Movement,Movement_Last,Intersection_Last,Interarrival,Leave_Time
2,1163033200,16.59,0,102,214,1,3,1,6,,1163201100
13,1163034600,20.01,0,102,203,1,3,1,2,1400.0,1163092200
15,1163034800,17.29,1,101,214,0,1,1,6,200.0,1163206000
17,1163036300,25.79,1,101,214,0,1,1,6,1500.0,1163207900
21,1163039100,23.83,2,101,202,0,1,1,1,2800.0,1163059900
22,1163043500,14.27,0,115,214,5,2,2,6,4400.0,1163044900
24,1163044800,15.84,2,101,202,0,1,1,1,1300.0,1163065300
27,1163045500,12.33,1,115,214,5,2,1,6,700.0,1163047500
31,1163047800,20.18,0,115,214,5,2,2,6,2300.0,1163049200
36,1163050500,29.97,2,101,215,0,1,2,5,2700.0,1163188000
39,1163050500,1.19,1,101,214,0,1,1,6,0.0,1163210200
50,1163059300,11.25,1,101,214,0,1,1,6,8800.0,1163216500
45,1163060200,15.78,2,113,214,5,3,3,6,900.0,1163060200
53,1163060600,22.45,2,101,214,0,1,1,6,400.0,1163203300
49,1163062300,19.26,0,113,214,5,3,3,6,1700.0,1163062700
59,1163064700,22.17,2,101,214,0,1,1,6,2400.0,1163212200
56,1163064700,21.69,2,113,214,5,3,3,6,0.0,1163064700
60,1163065400,24.79,1,101,206,0,1,3,3,700.0,1163136100
63,1163067700,25.54,1,101,221,0,1,2,3,2300.0,1163159300
70,1163070000,27.2,1,101,212,0,1,3,4,2300.0,1163147000
67,1163070100,25.53,0,113,214,5,3,3,6,100.0,1163070200
75,1163074600,12.45,2,101,214,0,1,1,6,4500.0,1163312200
72,1163074900,18.2,0,115,214,5,2,2,6,300.0,1163075800
85,1163079600,48.22,1,101,214,0,1,1,6,4700.0,1163205400
89,1163080800,51.3,1,101,214,0,1,1,6,1200.0,1163208000
95,1163088000,36.16,1,101,214,0,1,1,6,7200.0,1163307000
103,1163091300,12.28,0,112,214,4,3,1,6,3300.0,1163112200
115,1163093800,21.13,0,123,222,1,2,2,2,2500.0,1163107300
123,1163098000,16.73,1,111,220,4,3,2,4,4200.0,1163109000
